site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,site,site-plan-url,start-date
31 Curzon Street/185-191 Huntingdon Street,,31/03/2019,2019-08-12,,0.76,0,0,DevelopmentDescription: Multiple applications New student accommodation (198 units) with ancillary and communal facilities following demolition of existing buildings. Staples site also here. 53 at 12-14 Marks St completed 2018-19; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2014-11-17,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N9Z7K0LYCB000,permissioned,full planning permission,430,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457528.97389999963&xmax=457638.2703999998&ymin=340288.5427000001&ymax=340415.1963999998",2017-12-14
"Marco Island, Huntingdon Street",,,2017-12-14,,0.29,25,25,DevelopmentDescription: Multiple applications; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOWVYMLYHIN00,pending decision,full planning permission,431,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457693.50409999955&xmax=457784.9994999999&ymin=340109.5039000008&ymax=340188.9012000002",2017-12-14
50 Lower Parliament Street,,,2017-12-14,,0.08,,,DevelopmentDescription: 15 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,Not Permissioned,,457,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457573.3487&xmax=457616.0499999998&ymin=340069.14550000057&ymax=340101.19629999995",2017-12-14
"Castle Quarter, Maid Marian Way - College Site,",,,2017-12-14,,1.44,100,50,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,,,not permissioned,,459,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457018.2290000003&xmax=457159.54569999967&ymin=339372.9946999997&ymax=339572.1944999993",2017-12-14
Bestwood Road - Former Bestwood Day Centre,,31/03/2019,2019-08-12,,1.67,,,"DevelopmentDescription: 48 dwellings and associated infrastructure. 2 built 2018-19, 29 BUILT 19-20; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2017-09-28,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKU8T9LYMUN00,permissioned,full planning permission,500,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454784.66000000015&xmax=454921.0999999996&ymin=346766.75&ymax=347089.80000000075",2017-12-14
Derby Road - Sandfield Centre,yes,,2019-08-12,,1.85,43,43,"DevelopmentDescription: Erection of 95no. residential dwellings (C3) and associated infrastructure, site access and landscaping (MH = 17X2BED, 41X3BED, 19X4BED. SR = 11X2BED, 8X3BED); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2018-03-01,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OUB6VHLYH8500,permissioned,full planning permission,503,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455513.55119999964&xmax=455642.80069999956&ymin=339678.49719999917&ymax=339930.1952999998",2017-12-14
Beechdale Road - South of Former Co-op Dairy,,,2017-12-14,,0.9500000000000001,36,36,"DevelopmentDescription: Application for reserved matters 15/02582/PRES4 approval conditions 3 (external materials), 4 (hard surfacing) and 11 (surface water drainage) of outline planning permission reference 11/00785/POUT.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2015-12-04,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVSE6BLYCB000,Not Permissioned,,506,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453570.8663999997&xmax=453740.87129999977&ymin=341101.55000000075&ymax=341218.8964000009",2017-12-14
Chalfont Drive - Former Government Buildings,yes,,2019-08-12,,13.790000000000001,197,197,"DevelopmentDescription: Outline application 09/02049/POUT for the redevelopment of the site with up to 475 residential units, retention of bunker for part storage (B8) of archives and part-combined heat and power facility; provision of public open space and construction of acce; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2015-11-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NOFKV7LYCB000,permissioned,full planning permission,507,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=453800.7468999997&xmax=454136.71669999976&ymin=340783.20109999925&ymax=341331.2642000001",2017-12-14
"1, 2 and Lacetex Ltd, Holland Street",yes,,2019-08-12,,0.44,22,22,DevelopmentDescription: 22 dwellings and associated works following demolition of existing buildings.; SiteInformation: N/A; NonHousingDevelopment: (figures are 10 and 22 on uniform records for the applications); ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-07-08,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PK8VVELYH8J00,permissioned,full planning permission,508,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455764.7039999999&xmax=455866.05229999963&ymin=340983.0538999997&ymax=341061.20150000043",2017-12-14
"Albany Works site, Carlton Road",yes,,2019-08-12,,4.3500000000000005,8,8,DevelopmentDescription: On a small part of the site there is a proposal for a new retail unit (mixed use A1/A2/A3) with 8 flats above following demolition of existing building.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-05-23,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O5TUPDLYK6900,permissioned,full planning permission,511,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458044.99930000026&xmax=458403.70139999967&ymin=340129.79810000025&ymax=340374.5366999991",2017-12-14
Waterside - Freeth Street,,,2017-12-14,,8.17,420,350,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,516,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458378.5203&xmax=458730.55960000027&ymin=338772.68659999967&ymax=339108.1905000005",2017-12-14
"Caliba Queens House, Queens Road",,31/03/2019,2017-12-14,,0.14,,,DevelopmentDescription: 15/00462/PFUL3 New student development comprising 222 (was 215 self-contained units with ancillary accommodation at ground floor and associated works. Within site 522; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-02-06,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P06PCELY01B00,permissioned,full planning permission,518,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457667.59810000006&xmax=457708.6007000003&ymin=339071.00129999965&ymax=339119.74719999917",2017-12-14
"Traffic Street Site, Traffic Street",yes,,2017-12-14,,1.43,62,62,DevelopmentDescription: 62 new apartments and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-07-28,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZRDHTLYCB000,permissioned,full planning permission,521,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457097.2460000003&xmax=457343.03949999996&ymin=338975.57850000076&ymax=339098.45329999924",2017-12-14
Canal Quarter - Station Street/Carrington Street,yes,,2017-12-14,,0.76,319,319,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-08-30,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P8JVEALYGSO00,permissioned,full planning permission,526,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457380.9000000004&xmax=457516.2999999998&ymin=339248.8499999996&ymax=339339.68649999984",2017-12-14
"Byson Court, 109 Carrington Street, NG8 3BT",yes,,2019-08-12,,0.07,16,16,DevelopmentDescription: Change of use of upper floors to 16 self contained apartments; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2018-08-07,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9HJYQLYJCY00,permissioned,full planning permission,528,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457363.8501000004&xmax=457389.45100000035&ymin=339340.80399999954&ymax=339378.37329999916",2017-12-14
"Car Sales, 79-85 Talbot Street (Also known as the Christian Centre)",yes,,2017-12-14,,0.13,134,134,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-05-10,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OTFFENLYMKI00,permissioned,full planning permission,531,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456563.8976999996&xmax=456609.5011999998&ymin=340165.7977000009&ymax=340201.5976",2017-12-14
Pemberton Street,yes,,2019-08-12,,0.13,85,85,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-09-07,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVG2OMLYK6O00,permissioned,full planning permission,536,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457775.6002000002&xmax=457814.7971999999&ymin=339517.7533&ymax=339586.1537999995",2017-12-14
"Petrol Filling Station, London Road",yes,,2017-12-14,,0.19,85,85,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2019-03-26,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O8GASBLYM4400,permissioned,full planning permission,537,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457801.7039999999&xmax=457855.7008999996&ymin=339552.8532999996&ymax=339611.59640000015",2017-12-14
"Creative Quarter - Sneinton Market, Southwell Road",yes,,2017-12-14,,1.24,167,167,"DevelopmentDescription: Multiple applications. 17/02557/PFUL3 permission for 44 on Avenues D & E, and permission 18/02624/PFUL3 for 108 studios and 15 cluster flats at 149-169 Lower Parliament St; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,owned by a public authority,2018-08-02,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZ7H7JLYN0O00,permissioned,full planning permission,541,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457914&xmax=458074.25&ymin=339884.2100000009&ymax=340026.3499999996",2017-12-14
Between Cowan Street and Beck Street,yes,,2019-08-12,,0.1,42,42,"DevelopmentDescription: Outline planning application for the erection of up to 42 flats or 91 student beds within a seven storey development of up to a total of c. 585.3 square metres, including details of access, layout and scale.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",local-authority-eng:NGM,not owned by a public authority,2019-02-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P5XI4GLYH4900,permissioned,outline planning permission,543,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457699.0530000003&xmax=457728.6031999998&ymin=340201.9974000007&ymax=340250.5035999995",2017-12-14
"Waterside - Iremonger Road, London Road",,,2017-12-14,,0.9500000000000001,150,100,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,,,not permissioned,,545,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457925.5036000004&xmax=457967.2977999998&ymin=338506.60280000046&ymax=338830.3001000006",2017-12-14
"Land north of canal and Sainsbury's, Castle Boulevard",yes,,2019-08-12,,0.1,75,75,DevelopmentDescription: Erection of purpose built student accommodation scheme and associated works; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2018-01-19,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OOSRCZLYHB600,permissioned,full planning permission,594,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456296.2960000001&xmax=456457.80030000024&ymin=339183.0491000004&ymax=339207.7020999994",2017-12-14
"Prestige Windows, 602 The Wells Road",yes,,2017-12-14,,0.06,23,23,DevelopmentDescription: 23 dwellings 15/00014/PFUL3 -16 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2017-11-27,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OMT1G4LYJYL00,permissioned,full planning permission,596,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=458444.49729999993&xmax=458478.04640000034&ymin=342891.9773999993&ymax=342922.49870000035",2017-12-14
Land between Knights Close and Harvest Close,yes,,2019-08-12,,0.21,21,21,DevelopmentDescription: Demolition of the existing buildings and the construction of a mixed use development of retail (Class A1) and homes.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,owned by a public authority,2018-03-20,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OZRKDBLYGQG00,permissioned,full planning permission,610,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455876.35030000005&xmax=455931.7489&ymin=345675.3507000003&ymax=345745.85050000064",2017-12-14
"Car dealers/industrial area, Site Of 350 To 358 Haydn Road Nottingham NG5 1EA",yes,,2019-08-12,,1.3900000000000001,11,11,DevelopmentDescription: 20 new dwellings and associated works.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,local-authority-eng:NGM,not owned by a public authority,2016-08-03,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NXC0XFLYCB000,permissioned,full planning permission,645,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456156.7977&xmax=456306.7673000004&ymin=342647.3774999995&ymax=342820.6479000002",2017-12-14
